-0.09362961;-0.299432;0.8095672;
-0.08904991;-0.3033853;0.8063939;
-0.09926057;-0.3038297;0.8080535;
-0.1064765;-0.3153582;0.8071334;
-0.0822337;-0.3566799;0.7886736;
-0.08594462;-0.3593457;0.7893484;
-0.09146527;-0.3785059;0.7869328;
-0.09659524;-0.3877999;0.7863359;
-0.1029047;-0.4033549;0.788565;
-0.1086724;-0.4135187;0.7953745;
-0.118163;-0.4378308;0.7912964;
-0.1268253;-0.4608053;0.7989478;
-0.1376792;-0.4913399;0.8031066;
-0.1453615;-0.5177891;0.8160006;
-0.1555753;-0.5552803;0.8349764;
-0.1658822;-0.6036147;0.8625149;
-0.1718967;-0.6385939;0.8979082;
-0.1747132;-0.669271;0.9449285;
-0.1726473;-0.6989769;0.9991497;
-0.1687129;-0.7235385;1.052619;
-0.1720635;-0.7724773;1.092692;
-0.1653433;-0.7936232;1.139468;
-0.1630687;-0.8150741;1.179808;
-0.1618289;-0.8250198;1.223137;
-0.1564381;-0.8282854;1.258019;
-0.1504962;-0.8440639;1.289516;
-0.1426815;-0.8526486;1.324932;
-0.1320343;-0.8514214;1.36023;
-0.1209079;-0.8491206;1.398301;
-0.1095712;-0.8534093;1.427649;
-0.09259282;-0.8443247;1.46004;
-0.07701411;-0.8385787;1.487546;
-0.05865139;-0.8273963;1.52139;
-0.04203025;-0.8214925;1.542811;
-0.02133314;-0.8082767;1.572659;
-0.006331138;-0.7912704;1.591902;
0.01128107;-0.7784863;1.608943;
0.02574231;-0.7611668;1.627953;
0.0356527;-0.7540611;1.631984;
0.042977;-0.7499179;1.636812;
0.05171453;-0.7335036;1.648563;
0.05271893;-0.7372677;1.647961;
0.05652315;-0.7333519;1.648865;
0.05545565;-0.7318966;1.650274;
0.0543705;-0.7289389;1.648796;
0.04941008;-0.7413509;1.643061;
0.04323633;-0.7461827;1.635465;
0.02327665;-0.7892298;1.607958;
0.007001046;-0.805153;1.581998;
-0.002865754;-0.8332464;1.562335;
-0.01719733;-0.842607;1.535979;
-0.03185953;-0.8698242;1.501781;
-0.04646476;-0.8810421;1.467031;
-0.06248163;-0.8954445;1.426682;
-0.07645285;-0.9012411;1.388766;
-0.09254778;-0.9047549;1.335529;
-0.106075;-0.9139344;1.290422;
-0.1169613;-0.9114002;1.24488;
-0.1311922;-0.9102361;1.197713;
-0.1390128;-0.9018334;1.152698;
-0.1432204;-0.8906803;1.109613;
-0.1518246;-0.8706585;1.066215;
