-0.1796754,;-0.2011201,;0.8109603
-0.1884045,;-0.200547,;0.8143826
-0.1861798,;-0.1960934,;0.8129697
-0.1884982,;-0.2026465,;0.8115492
-0.1817979,;-0.1900016,;0.8104661
-0.2008798,;-0.1880741,;0.8134103
-0.1896743,;-0.1793994,;0.8120568
-0.1950649,;-0.1851345,;0.8111373
-0.2263675,;-0.2118668,;0.8126227
-0.2148882,;-0.1912706,;0.8111598
-0.2239485,;-0.1746124,;0.8047063
-0.2335908,;-0.1715219,;0.7984697
-0.2410147,;-0.1662991,;0.793681
-0.240739,;-0.1662431,;0.7840686
-0.223794,;-0.1818816,;0.768692
-0.2300628,;-0.1836692,;0.7605771
-0.2404421,;-0.1987215,;0.7563889
-0.2499335,;-0.1994175,;0.756363
-0.2642875,;-0.2229695,;0.7521019
-0.2744573,;-0.2494266,;0.765848
-0.2935052,;-0.2719741,;0.7586423
-0.3109831,;-0.3111883,;0.7607075
-0.3324604,;-0.397834,;0.7896269
-0.3404507,;-0.4337389,;0.7980331
-0.3351856,;-0.4811756,;0.8254417
-0.3195743,;-0.5140909,;0.8578529
-0.2992263,;-0.532066,;0.8896104
-0.2792884,;-0.5539743,;0.9148415
-0.2538859,;-0.5672309,;0.9477524
-0.2359364,;-0.5709829,;0.967471
-0.2241979,;-0.5867561,;0.987857
-0.2016857,;-0.6079752,;1.000337
-0.1754937,;-0.6176649,;1.011387
-0.1625267,;-0.6158452,;1.023938
-0.1335108,;-0.6194544,;1.033102
-0.1073056,;-0.6265929,;1.040786
-0.1023951,;-0.6163501,;1.047102
-0.07024235,;-0.6346499,;1.050869
-0.04701197,;-0.6478412,;1.050822
-0.02874836,;-0.6601853,;1.048171
-0.0201723,;-0.6744764,;1.039897
-0.005784854,;-0.6818241,;1.030904
-0.03582935,;-0.6823552,;1.024155
-0.04383874,;-0.7113205,;0.9979072
-0.06130894,;-0.7020029,;0.9808722
-0.08957042,;-0.7085221,;0.9554428
-0.1165706,;-0.7028666,;0.9379879
-0.1421194,;-0.694619,;0.9143573
-0.1819102,;-0.6629566,;0.9216009
-0.2094733,;-0.6348126,;0.9144965
