-0.2177357;-0.2876489;0.7902105
-0.2168279;-0.2797527;0.7952441
-0.222273;-0.2736325;0.7921996
-0.2230835;-0.2856376;0.7908924
-0.2256948;-0.2838989;0.7876213
-0.2328052;-0.2853993;0.7900583
-0.239321;-0.2993885;0.7920774
-0.2525211;-0.3012432;0.7902997
-0.2717722;-0.3165708;0.7973336
-0.2801021;-0.337923;0.7886943
-0.2927836;-0.346057;0.7934222
-0.3064964;-0.3816731;0.8175704
-0.3303728;-0.4018323;0.8157026
-0.3481113;-0.4102616;0.8331566
-0.3633465;-0.4739141;0.851825
-0.3785212;-0.5065488;0.8874736
-0.395183;-0.5452471;0.9128737
-0.3646435;-0.6202518;0.9963984
-0.3389516;-0.6544439;1.059908
-0.3117894;-0.6839519;1.129306
-0.2726137;-0.7013142;1.155534
-0.2959059;-0.5695894;1.180795
-0.2988156;-0.5954469;1.207114
-0.2994602;-0.5958595;1.239971
-0.3075308;-0.6049373;1.254492
-0.2792015;-0.8329153;1.334822
-0.2595836;-0.8258036;1.401149
-0.2502039;-0.8169237;1.431741
-0.237716;-0.8090982;1.459423
-0.2282407;-0.8026996;1.488442
-0.216991;-0.7993776;1.50885
-0.2092207;-0.7858323;1.535371
-0.2005191;-0.7727502;1.560005
-0.1924773;-0.7599452;1.578304
-0.1850016;-0.7476899;1.596376
-0.1779781;-0.7318752;1.613557
-0.1694759;-0.7203261;1.626945
-0.1648766;-0.7084703;1.636384
-0.1600946;-0.6919965;1.647827
-0.1560891;-0.6857795;1.656784
-0.1516083;-0.6800609;1.662663
-0.1494146;-0.6661856;1.668948
-0.1459773;-0.6608865;1.672261
-0.1481594;-0.6678213;1.667905
-0.1514865;-0.6754045;1.65985
-0.1547693;-0.7003081;1.644376
-0.156093;-0.7149961;1.633411
-0.1617005;-0.7339095;1.617207
-0.1690762;-0.753323;1.596048
-0.175501;-0.7746612;1.569716
-0.1839759;-0.7959352;1.541793
-0.1879265;-0.8061463;1.523988
-0.1984485;-0.8274043;1.488525
-0.2055223;-0.8368601;1.455917
-0.2130241;-0.8515694;1.428981
-0.222616;-0.8598797;1.399554
-0.2338676;-0.8675789;1.356152
-0.2468063;-0.8714687;1.320172
-0.2593154;-0.8805602;1.275073
-0.2714182;-0.8804584;1.229419
-0.2809197;-0.8688838;1.174887
-0.2938629;-0.8550327;1.119856
